code:U+1F639; desc:cat face with tears of joy; tags:cat | face | joy | tear
code:U+1F63B; desc:smiling cat face with heart-eyes; tags:cat | eye | face | love | smile
code:U+1F63C; desc:cat face with wry smile; tags:cat | face | ironic | smile | wry
code:U+1F63D; desc:kissing cat face with closed eyes; tags:cat | eye | face | kiss
code:U+1F640; desc:weary cat face; tags:cat | face | oh | surprised | weary
code:U+1F63F; desc:crying cat face; tags:cat | cry | face | sad | tear
code:U+1F63E; desc:pouting cat face; tags:cat | face | pouting
code:U+1F648; desc:see-no-evil monkey; tags:evil | face | forbidden | gesture | monkey | no | not | prohibited | see
code:U+1F649; desc:hear-no-evil monkey; tags:evil | face | forbidden | gesture | hear | monkey | no | not | prohibited
code:U+1F64A; desc:speak-no-evil monkey; tags:evil | face | forbidden | gesture | monkey | no | not | prohibited | speak
code:U+1F3FB; desc:light skin tone; tags:skin tone | type 1–2
code:U+1F3FC; desc:medium-light skin tone; tags:skin tone | type 3
code:U+1F3FD; desc:medium skin tone; tags:skin tone | type 4
code:U+1F3FE; desc:medium-dark skin tone; tags:skin tone | type 5
code:U+1F3FF; desc:dark skin tone; tags:skin tone | type 6
code:U+1F476; desc:baby; tags:baby | young
code:U+1F476 U+1F3FB; desc:baby: light skin tone; tags:baby | light skin tone | young
code:U+1F476 U+1F3FC; desc:baby: medium-light skin tone; tags:baby | medium-light skin tone | young
code:U+1F476 U+1F3FD; desc:baby: medium skin tone; tags:baby | medium skin tone | young
code:U+1F476 U+1F3FE; desc:baby: medium-dark skin tone; tags:baby | medium-dark skin tone | young
code:U+1F476 U+1F3FF; desc:baby: dark skin tone; tags:baby | dark skin tone | young
code:U+1F9D2   ;desc:child; tags:gender-neutral | young
code:U+1F9D2 U+1F3FB  ;desc:child: light skin tone; tags:gender-neutral | light skin tone | young
code:U+1F9D2 U+1F3FC  ;desc:child: medium-light skin tone; tags:gender-neutral | medium-light skin tone | young
code:U+1F9D2 U+1F3FD  ;desc:child: medium skin tone; tags:gender-neutral | medium skin tone | young
code:U+1F9D2 U+1F3FE  ;desc:child: medium-dark skin tone; tags:gender-neutral | medium-dark skin tone | young
code:U+1F9D2 U+1F3FF  ;desc:child: dark skin tone; tags:dark skin tone | gender-neutral | young
code:U+1F466; desc:boy; tags:boy | young
code:U+1F466 U+1F3FB; desc:boy: light skin tone; tags:boy | light skin tone | young
code:U+1F466 U+1F3FC; desc:boy: medium-light skin tone; tags:boy | medium-light skin tone | young
code:U+1F466 U+1F3FD; desc:boy: medium skin tone; tags:boy | medium skin tone | young
code:U+1F466 U+1F3FE; desc:boy: medium-dark skin tone; tags:boy | medium-dark skin tone | young
code:U+1F466 U+1F3FF; desc:boy: dark skin tone; tags:boy | dark skin tone | young
code:U+1F467; desc:girl; tags:Virgo | young | zodiac
code:U+1F467 U+1F3FB; desc:girl: light skin tone; tags:light skin tone | Virgo | young | zodiac
code:U+1F467 U+1F3FC; desc:girl: medium-light skin tone; tags:medium-light skin tone | Virgo | young | zodiac
code:U+1F467 U+1F3FD; desc:girl: medium skin tone; tags:medium skin tone | Virgo | young | zodiac
code:U+1F467 U+1F3FE; desc:girl: medium-dark skin tone; tags:medium-dark skin tone | Virgo | young | zodiac
code:U+1F467 U+1F3FF; desc:girl: dark skin tone; tags:dark skin tone | Virgo | young | zodiac
code:U+1F9D1   ;desc:adult; tags:gender-neutral
code:U+1F9D1 U+1F3FB  ;desc:adult: light skin tone; tags:gender-neutral | light skin tone
code:U+1F9D1 U+1F3FC  ;desc:adult: medium-light skin tone; tags:gender-neutral | medium-light skin tone
code:U+1F9D1 U+1F3FD  ;desc:adult: medium skin tone; tags:gender-neutral | medium skin tone
code:U+1F9D1 U+1F3FE  ;desc:adult: medium-dark skin tone; tags:gender-neutral | medium-dark skin tone
code:U+1F9D1 U+1F3FF  ;desc:adult: dark skin tone; tags:dark skin tone | gender-neutral
code:U+1F468; desc:man; tags:man
code:U+1F468 U+1F3FB; desc:man: light skin tone; tags:light skin tone | man
code:U+1F468 U+1F3FC; desc:man: medium-light skin tone; tags:man | medium-light skin tone
code:U+1F468 U+1F3FD; desc:man: medium skin tone; tags:man | medium skin tone
code:U+1F468 U+1F3FE; desc:man: medium-dark skin tone; tags:man | medium-dark skin tone
code:U+1F468 U+1F3FF; desc:man: dark skin tone; tags:dark skin tone | man
code:U+1F469; desc:woman; tags:woman
code:U+1F469 U+1F3FB; desc:woman: light skin tone; tags:light skin tone | woman
code:U+1F469 U+1F3FC; desc:woman: medium-light skin tone; tags:medium-light skin tone | woman
code:U+1F469 U+1F3FD; desc:woman: medium skin tone; tags:medium skin tone | woman
code:U+1F469 U+1F3FE; desc:woman: medium-dark skin tone; tags:medium-dark skin tone | woman
code:U+1F469 U+1F3FF; desc:woman: dark skin tone; tags:dark skin tone | woman
code:U+1F9D3   ;desc:older adult; tags:gender-neutral | old
code:U+1F9D3 U+1F3FB  ;desc:older adult: light skin tone; tags:gender-neutral | light skin tone | old
code:U+1F9D3 U+1F3FC  ;desc:older adult: medium-light skin tone; tags:gender-neutral | medium-light skin tone | old
code:U+1F9D3 U+1F3FD  ;desc:older adult: medium skin tone; tags:gender-neutral | medium skin tone | old
code:U+1F9D3 U+1F3FE  ;desc:older adult: medium-dark skin tone; tags:gender-neutral | medium-dark skin tone | old
code:U+1F9D3 U+1F3FF  ;desc:older adult: dark skin tone; tags:dark skin tone | gender-neutral | old
code:U+1F474; desc:old man; tags:man | old
code:U+1F474 U+1F3FB; desc:old man: light skin tone; tags:light skin tone | man | old
code:U+1F474 U+1F3FC; desc:old man: medium-light skin tone; tags:man | medium-light skin tone | old
code:U+1F474 U+1F3FD; desc:old man: medium skin tone; tags:man | medium skin tone | old
code:U+1F474 U+1F3FE; desc:old man: medium-dark skin tone; tags:man | medium-dark skin tone | old
code:U+1F474 U+1F3FF; desc:old man: dark skin tone; tags:dark skin tone | man | old
code:U+1F475; desc:old woman; tags:old | woman
code:U+1F475 U+1F3FB; desc:old woman: light skin tone; tags:light skin tone | old | woman
code:U+1F475 U+1F3FC; desc:old woman: medium-light skin tone; tags:medium-light skin tone | old | woman
